date_time,response_time,response_time_bucket,date_time_hour_bucket
2020-06-09 08:45:28.336862,69.817,70,8
2020-06-09 08:45:29.411115,71.443,72,8
2020-06-09 08:45:30.487147,92.04,93,8
2020-06-09 08:45:31.582362,69.311,70,8
2020-06-09 08:45:32.655278,71.359,72,8
2020-06-09 08:45:33.730591,68.625,69,8
2020-06-09 08:45:34.802883,71.317,72,8
2020-06-09 08:45:35.877651,76.334,77,8
2020-06-09 08:45:36.957679,70.861,71,8
2020-06-09 08:45:38.031957,74.57,75,8
2020-06-09 08:45:39.110069,71.264,72,8
2020-06-09 08:45:40.185110,72.634,73,8
2020-06-09 08:45:41.261023,71.715,72,8
2020-06-09 08:45:42.336124,71.455,72,8
2020-06-09 08:45:43.411518,73.069,74,8
2020-06-09 08:45:44.488100,72.816,73,8
2020-06-09 08:45:45.565348,68.771,69,8
2020-06-09 08:45:46.637399,85.893,86,8
2020-06-09 08:45:47.727231,72.247,73,8
2020-06-09 08:45:48.803200,72.815,73,8
2020-06-09 08:45:49.880776,159.08,160,8
2020-06-09 08:45:51.043597,106.004,107,8
2020-06-09 08:45:52.153344,72.493,73,8
2020-06-09 08:45:53.230056,78.516,79,8
2020-06-09 08:45:54.312298,67.272,68,8
2020-06-09 08:45:55.382796,71.392,72,8
2020-06-09 08:45:56.457546,80.639,81,8
2020-06-09 08:45:57.542230,90.852,91,8
2020-06-09 08:45:58.636839,73.284,74,8
2020-06-09 08:45:59.713693,71.727,72,8
2020-06-09 08:46:00.789373,98.626,99,8
2020-06-09 08:46:01.891342,69.03,70,8
2020-06-09 08:46:02.964081,70.992,71,8
2020-06-09 08:46:04.038593,70.756,71,8
2020-06-09 08:46:05.113178,79.289,80,8
2020-06-09 08:46:06.195888,72.95,73,8
2020-06-09 08:46:07.272414,73.635,74,8
2020-06-09 08:46:08.350802,67.436,68,8
2020-06-09 08:46:09.421883,71.488,72,8
2020-06-09 08:46:10.497214,72.135,73,8
2020-06-09 08:46:11.573373,70.466,71,8
2020-06-09 08:46:12.647251,70.204,71,8
2020-06-09 08:46:13.722185,69.034,70,8
2020-06-09 08:46:14.795072,76.937,77,8
2020-06-09 08:46:15.875493,66.875,67,8
2020-06-09 08:46:16.947206,71.246,72,8
2020-06-09 08:46:18.022193,71.847,72,8
2020-06-09 08:46:19.097662,76.054,77,8
2020-06-09 08:46:20.177083,69.744,70,8
2020-06-09 08:46:21.250757,69.935,70,8
2020-06-09 08:46:22.324349,68.94,69,8
2020-06-09 08:46:23.397198,71.898,72,8
2020-06-09 08:46:24.473208,71.815,72,8
2020-06-09 08:46:25.548247,72.212,73,8
2020-06-09 08:46:26.624050,77.548,78,8
2020-06-09 08:46:27.705525,68.147,69,8
2020-06-09 08:46:28.777204,78.741,79,8
2020-06-09 08:46:29.859672,70.72,71,8
2020-06-09 08:46:30.934450,69.02,70,8
2020-06-09 08:46:32.007326,71.019,72,8
